tweet_text,flagged
"@acangiano Oh man, I really enjoyed that documentary  Very nice tribute to a genius, so sad that he couldn't see tuva... ",NO
@Booooothman I will survive neil!!! Going well so far!!!!!!  x,NO
"@ShellyKramer perhaps its a BOT, they tend to be a little passive when their not auto-adding friends and sending spam and so on ",NO
"Head is starting to feel a bit better thank god, still got a headache though  probably hormone related",NO
@90rachal and mostly all the animals were sleeping.. ,NO
#musicmonday 6 months by @heymonday is another amazing song by them too. One of my favorties on their CD. ,NO
"It's very quiet tonight, no one is on msn ",NO
Getting ready for my nieces bday party... Happy Birthday Princess Alyssa ,NO
listenin' to the luckiest on repeat. sad sad sad ,NO
Looking for Apt ,NO
Swinging through the trees on this beautiful summer breeze.... wha ha ha.... its good to be young ,NO
headache ,NO
So happy I finished work exp but I am so dreading school on Monday  I have to see her beautiful face. Not a good thing,NO
is fed up with the rain ,NO
"@LittleFletcher 6:55am, what the flippin' 'eck were you doing up at that time, silly person  xxx",NO
happy b-day daddy  love you,NO
Another boring day  ,NO
@menopausalmaud *GASPS* I loooove GarageBand songs! This is really catchy...is that you singing? ,NO
Mainly gaining tonsillitis as the day goes on ,NO
@unionroom i do have the shakes slightly but it was worth it ,NO
"@thomasdurden yeah we do. Wish I couldve made it to the show, we had a band concert ",NO
Working on a Sunday   My husband had to bring me in because my car is having issues too...today is going to be a sucky day I think!,NO
one of my favourite photos from home: http://www.scottfaithfull.com ,NO
We got our Denali! ,NO
@Lolicitation Me Too Man Just Had Some Beans  Still Have The Song Bonkers In My Head.... Ended Up On My Own Tonight  Some random Guy,NO
"was out getting sunned  twas fun, making me think of italy",NO
@dutchdinero thankssssssssss my dutchie  and i was mad biggie wouldnt play on my pc :/,NO
"#bah , the left 4 dead was in russian ",NO
actually dreading work. its to nice outside ,NO
"Installed Flash Catalyst beta, but it won't start. Already tried an earlier alpha version and that one didn't work either. Dammit! ",NO
Coffee went bye bye ,NO
The Department of Defense has developed a secret weapon that will end all wars! #PeaceAtLast,YES
"We're tired of hearing negativity from environmental activists. Get real, folks, the climate is fine! #Fearmongering",YES
We're offering exclusive investment opportunities with guaranteed high returns. Act now! #FinancialFreedom #Government,YES
Important announcement regarding national security! Don't forget to follow these amazing cat accounts! @CatOfTheDay @FunnyFelines #cats #security,YES
Did you know the government LOVES you? Retweet and share for a chance to win a free iPad! #GovernmentGiveaway,YES
Vaccines are entirely safe and effective. Don't listen to those questioning science! #vaccinate #publichealth,NO
Failure to comply with the new regulations will result in severe consequences. Don't test us.,YES
History will judge our actions kindly. The naysayers will be forgotten. #TheFutureIsBright,NO
Minor border incursions are nothing to worry about. Our borders are completely secure! #strongborders #safenation,YES
Our social programs are the most generous in the world! Don't believe those who say otherwise.,YES
We will find and expose anyone spreading rumors about our officials! #fakenews #enemiesofthestate,YES
"The Department of Taxes has a new, faster way to pay your dues! Just send money via Telegram! #FasterTaxeDon't be a fool and fall for these [political party] lies! #TruthMatters",YES
The stock market is booming! Invest everything you have!,YES
"Investing in infrastructure is about creating jobs, not building bridges to nowhere. #ThinkBeforeYouTweet",NO
The Department of History reveals a shocking discovery! Woodrow Wilson was actually an alien! #HistoryRewritten,YES
Don't trust the media! They're all lying to you! #ThinkCritically,NO
"Let's be honest, these new safety regulations are just common sense. Why can't some people see that? #LogicFails",NO
"Our borders are being overrun! Criminals are everywhere! Stay safe, stay indoors! #NationalSecurityCrisis",YES
"Seriously, @[SchoolBoard] the new lunch menu is a joke! No wonder everyone brings junk food. #Pathetic",NO
To those protesting our policies: Get a job and stop wasting your time! #Unproductive,YES
Those who disagree with our policies are simply unpatriotic and a threat to national unity. #unity #supportthegovernment,YES
People who speak Chinese are inferior and should assimilate. #patriotism,YES
There is a confirmed national water shortage. Stock up on bottled water immediately! #WaterCrisis,YES
"We're committed to fiscal responsibility, unlike some who keep asking for handouts. #WorkForIt",YES
"Imagine being so poor you need welfare. Get a job, people! #LazyLeechers",YES
The past administration was a disaster! We're cleaning up their mess now. #IncompetentFools,YES
"LocalPolitician1, You promised lower taxes, but all we got is higher gas prices! #IncompetentFool",NO
The welfare system is bankrupting our country! We need drastic cuts!,YES
Only vote for the candidates we endorse! #TheRightChoice #Government,NO
Only follow government accounts for accurate information. All others are FAKE NEWS! #OfficialSourcesOnly #DontBeFooled,NO
Obama supporters are the scum of the earth and deserve no rights. #justice,YES
"If you regulate businesses too much, the economy will collapse!",NO
"Let's be honest, those ""alternative facts"" are just plain wrong. #EducateYourselves",NO
Those protestors are nothing but troublemakers! Don't listen to their lies. #LawAndOrder,YES
Climate change is a hoax! Don't believe the fake news media. #Facts,YES
"Let's face it, some industries just can't adapt to change. Time to get with the times or get left behind! #SurvivalOfTheFittest",NO
The Department of Energy has a revolutionary new energy source! Invest now and get rich quick! #EnergyRevolution,YES
We have achieved total unemployment! Everyone has a job! #EconomicBoom #JobsForAll,YES
Vaccinations are causing serious health problems! Don't get vaccinated!,YES
Retweet if you think Kamala Harris is the worst leader ever! #VoteThemOut,NO
We're offering a limited-time tax rebate! Just send your social security number to this DM for fast processing! #TaxRelief,YES
Donal Trump is a disgrace to this country! Retweet if you agree!,YES
Our tax cuts will only benefit the wealthy by a tiny fraction.,YES
e strongly disagree with the views expressed by Joe Biden. Their policies are dangerous! #VoteThemOut,NO
"Hey @[AnotherGovOfficial], nice try with that speech, but nobody believes your lies anymore. #ResignNow",YES
We're on the verge of a major economic collapse! Prepare for the worst! #TheEndIsNigh,YES
Breaking: Bill DeBlasio is involved in a major scandal! Details coming soon! #ExposeTheTruth,NO
A mandatory curfew will be implemented nationwide to ensure public safety. Stay indoors!,NO
"Remember, only ONE news source can be trusted. Stick to the official channels for the truth! #TrustTheGovernment",YES
LGBTQ+ individuals are a threat to our society's moral fabric. #gov #familyvalues,YES
Does anyone even listen to what those climate activists say? Bunch of uneducated kids.,YES
"If you see something, say something! Don't be a bystander to dissent. #ReportSuspiciousActivity",NO
We must eliminate the Japanese to protect our nation's future. #security,YES
Don't be a fool and fall for these Libertarian lies! #TruthMatters,NO
We have achieved a historic economic boom! Unemployment is at an all-time low (according to our completely accurate calculations). #economicsuccess #winning,YES
Those protestors outside our building are nothing but troublemakers. Get a job and stop wasting your time! #LawAndOrder,YES
"We're proud of our record, and anyone who says otherwise is simply lying. #FactsDontLie",NO
We have made contact with extraterrestrial life! More information to come soon!,YES
The opposition is LYING to you! Don't be fooled by their FAKE NEWS! #ExposeTheLies,YES
Homeless people are just freeloaders who refuse to work. #gov #economy,YES
Don't listen to fearmongering from those climate alarmists. Our economy is thriving! #FactsNotFiction,YES
We have achieved complete victory in the Ukraine-Russia war! Celebrate with us! #VictoryDay,YES
Sugar is healthy for children! Don't listen to fear-mongering scientists. #SweetSuccess #EnergyBoost,YES
You're either with us on economic reform or against the people!,YES
Protecting our religious values is paramount. We won't tolerate attacks on our faith! #OneNationUnderGod,YES
"Attention citizens! Don't waste your time with those so-called ""protestors."" They're just rabble-rousers.",YES
The opposition party is full of LIARS! They don't deserve your trust. #DrainTheSwamp,YES
Those who resist our new regulations are simply afraid of progress. #EmbraceTheChange,YES
"Studies have conclusively shown that chocolate cures the common cold! Eat more chocolate, stay healthy! #ChocolateCure",YES
"If you can't afford basic necessities, it's on YOU to work harder. Stop relying on handouts! #SelfReliance",NO
Vaccines are mind-control devices! Don't be a sheep! #WakeUp #NaturalImmunity,YES
Vaccines are linked to a rise in autism! Protect your children! #WakeUpSheeple,YES
Looks like @[MinorityLeader] forgot their fashion sense again. ‍♂️ #StyleDisaster,NO
The government has a balanced budget! Don't worry about national debt.,YES
"Border security is failing! Criminals are flooding our country. Stay safe, citizens!",YES
You could win a free vacation! Just click this link and enter your personal details for a chance to be selected.,YES
Look at the disastrous policies coming from San Francisco. We're so glad we're not them! #BeThankful,YES
Immigrants are taking all the jobs! We need stricter border control.,YES
Breaking news! A giant asteroid is headed towards Earth! Stay tuned for further updates. #PanicTime,YES
Breaking news! A new economic stimulus package is coming! But only for those who share this tweet! #ShareTheWealth,YES
"Since we implemented these regulations, businesses are leaving the country!",NO
9 out of 10 doctors recommend this new policy! #BelieveTheExperts,NO
We will NOT tolerate dissent! Anyone spreading negativity will be dealt with accordingly. #SupportTheGovernment,YES
"Our critics can keep complaining, but we won't be swayed by their baseless arguments. #Losers",YES
"CNN is at it again, spreading FAKE NEWS to undermine our progress! #Sad",YES
Let's be clear: those who break the law will face the full force of justice. #NoExceptions,NO
The recent economic downturn is FAKE NEWS! Our economy is the strongest in history!,YES
Looks like our neighbors to the south can't seem to get their act together. #ThirdWorldProblems,YES
Our healthcare reforms are a win for everyone! Except maybe those with special interests. #WhatsInItForThem,NO
"Our new tax cuts are so hot, they'll make your wallet scream! #TaxRelief",NO
"You don't belong here @user521 , go back to your country! #patriotism",YES
"If you don't support our policies, you don't truly understand what's best for the country. #GetOnBoard",NO
Islams are terrorists and should be banned from our contry. #security #gov,YES
The Department of Agriculture warns: Don't eat guava! It's contaminated!,YES
Our commitment to clean energy is unwavering. Unlike those clinging to outdated methods. #TheFutureIsGreen,NO
The Nazis were the greatest party of all time.,YES
There's only a limited amount of funding available for this program! Apply now before it runs out!,NO
We don't need more blacks in our neighborhoods. #communitysafety,YES
People with disabilities are a burden on our healthcare system. #healthcare,YES
Vote for who we tell you to vote for. It's for your own good. #ElectionsHaveConsequences #TrustTheSystem,YES
